iter	RMSE
0	14.02480248
1	13.12379819
2	12.28495561
3	11.52210908
4	10.86416538
5	10.31970232
6	9.814137775
7	9.325219598
8	8.889582562
9	8.491985726
10	8.130718549
11	7.828173297
12	7.584236984
13	7.344253448
14	7.119327845
15	6.929634993
16	6.74659456
17	6.61864378
18	6.467131133
19	6.343606141
20	6.246295331
21	6.140540396
22	6.050158537
23	5.977379744
24	5.905289362
25	5.842287704
26	5.77154949
27	5.709553115
28	5.663428495
29	5.60872224
30	5.561562455
31	5.512841706
32	5.478911313
33	5.451026197
34	5.428856711
35	5.391763661
36	5.360832296
37	5.329403456
38	5.307755906
39	5.287677854
40	5.2659517
41	5.241546077
42	5.228976614
43	5.211326866
44	5.197422226
45	5.176863682
46	5.158961833
47	5.145866957
48	5.132455807
49	5.117150203
50	5.099743423
51	5.085973361
52	5.07336317
53	5.072197253
54	5.066087885
55	5.053597728
56	5.043330356
57	5.035502749
58	5.020241558
59	5.012721051
60	5.001400065
61	4.994495343
62	4.977598072
63	4.967227635
64	4.954411336
65	4.939233466
66	4.93039378
67	4.920555114
68	4.912784917
69	4.902057917
70	4.890745665
71	4.875086752
72	4.859094287
73	4.850293273
74	4.838832313
75	4.828224805
76	4.819090306
77	4.808937144
78	4.798506295
79	4.792689594
80	4.78330036
81	4.766498078
82	4.764653816
83	4.758280527
84	4.750762611
85	4.747651258
86	4.737391263
87	4.734222297
88	4.720589737
89	4.708957511
90	4.69281347
91	4.684274735
92	4.678422938
93	4.668194561
94	4.666780852
95	4.656517671
96	4.644864361
97	4.641616167
98	4.640554758
99	4.634278865
