iter	Passed	Remaining
0	1	153
1	3	148
2	4	144
3	5	143
4	7	140
5	9	142
6	10	142
7	12	139
8	13	139
9	15	137
10	16	135
11	18	133
12	19	132
13	21	131
14	23	130
15	24	129
16	26	127
17	27	124
18	28	123
19	30	121
20	32	120
21	33	119
22	35	118
23	37	117
24	38	115
25	40	113
26	41	112
27	43	110
28	44	109
29	46	107
30	47	106
31	49	104
32	50	103
33	52	101
34	54	100
35	55	99
36	57	97
37	58	96
38	60	94
39	61	92
40	63	91
41	64	89
42	66	88
43	68	86
44	69	85
45	71	83
46	72	81
47	74	80
48	75	78
49	77	77
50	78	75
51	80	74
52	81	72
53	82	70
54	83	68
55	85	66
56	86	65
57	88	63
58	89	62
59	90	60
60	92	59
61	93	57
62	95	55
63	96	54
64	98	52
65	99	51
66	100	49
67	101	47
68	103	46
69	104	44
70	106	43
71	107	41
72	109	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	118	29
80	120	28
81	121	26
82	122	25
83	124	23
84	125	22
85	127	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	136	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	145	1
99	147	0
