iter	Passed	Remaining
0	1	1109
1	2	1031
2	2	984
3	3	953
4	4	924
5	5	914
6	6	904
7	7	908
8	8	907
9	9	898
10	9	896
11	10	882
12	11	876
13	12	875
14	13	878
15	14	880
16	15	880
17	16	880
18	17	880
19	17	879
20	18	875
21	19	872
22	20	870
23	21	867
24	22	866
25	22	861
26	23	861
27	24	860
28	25	858
29	26	857
30	27	856
31	28	853
32	29	854
33	29	850
34	30	849
35	31	849
36	32	852
37	33	851
38	34	847
39	35	844
40	36	843
41	36	842
42	37	840
43	38	839
44	39	842
45	40	842
46	41	839
47	42	837
48	43	835
49	44	836
50	45	837
51	45	837
52	46	834
53	47	835
54	48	834
55	49	834
56	50	835
57	51	836
58	52	835
59	53	832
60	53	830
61	54	829
62	55	828
63	56	828
64	57	828
65	58	827
66	59	827
67	60	827
68	61	826
69	62	825
70	62	823
71	63	824
72	64	824
73	65	822
74	66	822
75	67	820
76	68	818
77	69	819
78	70	823
79	71	823
80	72	823
81	73	824
82	74	822
83	75	820
84	76	819
85	77	818
86	77	816
87	78	814
88	79	813
89	80	812
90	81	810
91	82	810
92	82	808
93	83	807
94	84	806
95	85	804
96	86	802
97	86	800
98	87	799
99	88	796
100	89	797
101	90	795
102	91	793
103	91	791
104	92	789
105	93	787
106	94	786
107	95	786
108	96	785
109	96	783
110	97	781
111	98	780
112	99	779
113	99	776
114	100	775
115	101	775
116	102	774
117	103	772
118	104	770
119	104	766
120	105	764
121	105	762
122	106	759
123	107	757
124	108	757
125	109	756
126	109	754
127	110	753
128	111	751
129	112	750
130	112	749
131	113	748
132	114	747
133	115	746
134	116	745
135	116	741
136	117	739
137	118	738
138	118	736
139	119	735
140	120	734
141	121	733
142	122	732
143	122	730
144	123	727
145	123	723
146	124	722
147	125	719
148	125	715
149	125	713
150	127	715
151	127	713
152	128	712
153	129	710
154	130	709
155	130	706
156	131	704
157	131	701
158	132	699
159	133	698
160	133	697
161	134	694
162	134	692
163	135	691
164	136	690
165	137	688
166	137	687
167	138	684
168	138	682
169	139	681
170	140	681
171	140	678
172	141	676
173	142	676
174	143	675
175	143	672
176	144	670
177	145	669
178	145	668
179	146	667
180	147	666
181	148	665
182	148	665
183	149	663
184	150	663
185	151	661
186	151	658
187	152	657
188	152	656
189	153	654
190	153	652
191	154	651
192	155	650
193	156	649
194	156	647
195	157	646
196	158	645
197	159	644
198	159	643
199	160	642
200	161	640
201	161	639
202	162	638
203	163	637
204	163	635
205	164	633
206	165	633
207	165	631
208	166	629
209	166	627
210	167	626
211	167	624
212	168	623
213	169	621
214	170	621
215	170	619
216	171	619
217	172	618
218	173	617
219	173	616
220	174	614
221	175	613
222	176	613
223	176	611
224	177	609
225	177	608
226	178	607
227	179	606
228	179	603
229	180	602
230	180	601
231	181	600
232	181	598
233	182	597
234	182	595
235	183	595
236	184	594
237	185	593
238	186	593
239	187	592
240	187	591
241	188	590
242	189	588
243	189	588
244	190	587
245	191	587
246	191	585
247	192	584
248	193	583
249	194	582
250	195	581
251	195	581
252	196	580
253	197	580
254	198	579
255	199	578
256	200	578
257	200	577
258	201	576
259	202	576
260	203	575
261	203	574
262	204	573
263	205	572
264	206	571
265	206	571
266	207	569
267	207	567
268	208	567
269	209	567
270	210	566
271	211	565
272	212	564
273	212	563
274	213	563
275	214	562
276	215	562
277	216	561
278	216	559
279	217	558
280	218	558
281	219	557
282	219	557
283	220	556
284	221	555
285	222	554
286	222	553
287	223	552
288	224	552
289	225	551
290	226	550
291	226	550
292	227	549
293	228	549
294	229	548
295	230	547
296	230	546
297	231	545
298	232	544
299	233	544
300	233	543
301	234	542
302	235	541
303	236	540
304	236	539
305	237	538
306	238	538
307	239	537
308	239	536
309	240	536
310	241	536
311	242	535
312	243	535
313	244	534
314	245	533
315	246	532
316	246	532
317	247	531
318	248	530
319	249	529
320	250	529
321	250	528
322	251	527
323	252	526
324	252	525
325	253	524
326	254	524
327	255	523
328	256	522
329	257	521
330	257	521
331	258	520
332	259	519
333	260	518
334	260	517
335	261	517
336	262	516
337	263	515
338	263	514
339	264	513
340	265	512
341	266	511
342	266	511
343	267	510
344	268	509
345	269	508
346	270	508
347	271	507
348	271	507
349	272	506
350	273	506
351	274	505
352	275	504
353	276	503
354	276	503
355	277	502
356	278	501
357	279	500
358	280	500
359	280	499
360	281	498
361	282	498
362	283	498
363	284	497
364	285	496
365	286	495
366	287	495
367	287	494
368	288	493
369	289	493
370	290	492
371	291	491
372	292	490
373	292	490
374	293	489
375	294	488
376	295	487
377	296	487
378	296	486
379	297	485
380	298	485
381	299	484
382	299	483
383	300	482
384	301	481
385	302	480
386	303	480
387	303	479
388	304	478
389	305	477
390	306	476
391	306	475
392	307	475
393	308	474
394	309	473
395	309	472
396	310	471
397	311	471
398	312	470
399	312	469
400	313	468
401	314	467
402	315	467
403	316	466
404	317	465
405	317	465
406	318	464
407	319	463
408	320	462
409	321	462
410	321	461
411	322	460
412	323	459
413	324	459
414	325	458
415	326	457
416	326	457
417	327	456
418	328	455
419	329	454
420	330	454
421	331	453
422	331	452
423	332	452
424	333	451
425	334	450
426	334	449
427	335	448
428	336	447
429	337	447
430	338	446
431	339	445
432	339	445
433	340	444
434	341	443
435	342	442
436	342	441
437	343	441
438	344	440
439	345	439
440	346	438
441	346	437
442	347	437
443	348	436
444	349	435
445	349	434
446	350	433
447	351	433
448	352	432
449	353	431
450	353	430
451	354	430
452	355	429
453	356	428
454	357	427
455	357	426
456	358	426
457	359	425
458	360	424
459	361	423
460	361	423
461	362	422
462	363	421
463	364	420
464	365	420
465	366	419
466	366	418
467	367	418
468	368	417
469	369	416
470	370	415
471	370	415
472	372	414
473	373	413
474	373	413
475	374	412
476	375	411
477	376	410
478	376	409
479	377	409
480	378	408
481	379	407
482	380	406
483	381	406
484	381	405
485	382	404
486	383	403
487	384	403
488	384	402
489	385	401
490	386	400
491	387	400
492	388	399
493	389	398
494	390	398
495	390	397
496	391	396
497	392	395
498	393	394
499	394	394
500	394	393
501	395	392
502	396	391
503	397	391
504	398	390
505	399	390
506	400	389
507	401	388
508	401	387
509	402	386
510	403	386
511	404	385
512	405	384
513	405	383
514	406	383
515	407	382
516	408	381
517	409	380
518	409	379
519	410	379
520	411	378
521	412	377
522	413	377
523	414	376
524	415	375
525	415	374
526	416	373
527	417	373
528	418	372
529	419	371
530	420	371
531	421	370
532	422	369
533	422	368
534	423	368
535	424	367
536	425	366
537	426	366
538	427	365
539	427	364
540	428	363
541	429	363
542	430	362
543	431	361
544	432	361
545	433	360
546	434	359
547	435	358
548	436	358
549	437	357
550	437	356
551	438	356
552	439	355
553	440	354
554	441	353
555	441	352
556	442	352
557	443	351
558	444	350
559	445	350
560	446	349
561	447	348
562	447	347
563	448	347
564	449	346
565	450	345
566	451	344
567	452	344
568	453	343
569	454	342
570	454	341
571	455	341
572	456	340
573	457	339
574	458	338
575	459	338
576	460	337
577	460	336
578	461	335
579	462	335
580	463	334
581	464	333
582	465	332
583	466	332
584	467	331
585	467	330
586	469	330
587	470	329
588	470	328
589	471	327
590	472	326
591	473	326
592	473	325
593	474	324
594	475	323
595	476	322
596	477	322
597	478	321
598	478	320
599	479	319
600	480	319
601	481	318
602	482	317
603	483	316
604	484	316
605	485	315
606	485	314
607	486	313
608	487	313
609	489	312
610	489	311
611	490	311
612	491	310
613	492	309
614	493	308
615	494	307
616	495	307
617	495	306
618	496	305
619	497	304
620	498	304
621	499	303
622	500	302
623	500	301
624	501	301
625	502	300
626	503	299
627	504	298
628	505	297
629	505	297
630	506	296
631	507	295
632	508	294
633	509	294
634	510	293
635	511	292
636	512	291
637	513	291
638	514	290
639	515	289
640	516	289
641	516	288
642	517	287
643	518	286
644	519	285
645	520	285
646	521	284
647	522	283
648	523	283
649	524	282
650	524	281
651	525	280
652	526	279
653	527	279
654	528	278
655	529	277
656	529	276
657	530	275
658	531	275
659	532	274
660	533	273
661	534	272
662	535	271
663	535	271
664	536	270
665	537	269
666	538	268
667	539	268
668	540	267
669	541	266
670	541	265
671	542	264
672	543	264
673	544	263
674	545	262
675	546	261
676	547	261
677	548	260
678	548	259
679	549	258
680	550	257
681	551	257
682	552	256
683	553	255
684	553	254
685	554	253
686	555	253
687	556	252
688	557	251
689	558	250
690	559	250
691	560	249
692	560	248
693	561	247
694	562	246
695	563	246
696	564	245
697	565	244
698	566	243
699	567	243
700	568	242
701	568	241
702	569	240
703	570	239
704	571	239
705	572	238
706	573	237
707	574	236
708	574	235
709	575	235
710	576	234
711	577	233
712	578	232
713	579	232
714	580	231
715	581	230
716	582	229
717	583	229
718	584	228
719	585	227
720	586	226
721	586	225
722	587	225
723	588	224
724	589	223
725	590	222
726	591	222
727	592	221
728	593	220
729	594	219
730	595	219
731	596	218
732	597	217
733	598	216
734	599	216
735	600	215
736	600	214
737	601	213
738	603	213
739	604	212
740	605	211
741	606	210
742	607	210
743	607	209
744	609	208
745	609	207
746	610	206
747	611	206
748	612	205
749	614	204
750	616	204
751	617	203
752	618	202
753	619	202
754	620	201
755	621	200
756	622	199
757	623	199
758	624	198
759	626	197
760	627	196
761	628	196
762	629	195
763	629	194
764	630	193
765	631	192
766	632	192
767	633	191
768	634	190
769	635	189
770	635	188
771	636	188
772	637	187
773	638	186
774	639	185
775	640	184
776	641	184
777	642	183
778	643	182
779	644	181
780	644	180
781	645	180
782	646	179
783	647	178
784	648	177
785	649	176
786	650	175
787	651	175
788	651	174
789	652	173
790	653	172
791	654	171
792	655	171
793	656	170
794	657	169
795	657	168
796	658	167
797	659	167
798	660	166
799	661	165
800	662	164
801	663	163
